iter	Passed	Remaining
274	1841	4856
275	1847	4845
276	1851	4832
277	1857	4825
278	1862	4812
279	1866	4800
280	1875	4800
281	1880	4787
282	1884	4774
283	1892	4772
284	1920	4818
285	1941	4846
286	1959	4868
287	1965	4858
288	1972	4851
289	1978	4843
290	1984	4835
291	1991	4828
292	2015	4863
293	2024	4861
294	2033	4860
295	2040	4854
296	2048	4848
297	2055	4843
298	2062	4836
299	2070	4831
300	2076	4822
301	2082	4813
302	2088	4804
303	2096	4798
304	2101	4788
305	2106	4777
306	2111	4765
307	2116	4754
308	2120	4742
309	2125	4729
310	2129	4717
311	2133	4705
312	2138	4693
313	2144	4684
314	2149	4675
315	2156	4667
316	2162	4658
317	2168	4651
318	2174	4641
319	2184	4641
320	2191	4636
321	2196	4624
322	2200	4612
323	2205	4600
324	2209	4588
325	2214	4578
326	2218	4566
327	2223	4554
328	2227	4542
329	2232	4532
330	2236	4520
331	2240	4508
332	2244	4496
333	2250	4487
334	2255	4476
335	2259	4464
336	2263	4453
337	2269	4444
338	2274	4435
339	2279	4425
340	2284	4415
341	2290	4406
342	2295	4397
343	2300	4387
344	2308	4382
345	2314	4375
346	2320	4366
347	2325	4357
348	2330	4347
349	2336	4340
350	2342	4330
351	2347	4320
352	2351	4309
353	2355	4298
354	2360	4288
355	2364	4276
356	2368	4266
357	2372	4254
358	2377	4244
359	2381	4233
360	2385	4223
361	2390	4212
362	2397	4207
363	2402	4197
364	2406	4187
365	2411	4176
366	2415	4166
367	2419	4155
368	2441	4174
369	2449	4171
370	2455	4162
371	2459	4152
372	2464	4142
373	2468	4131
374	2473	4121
375	2477	4111
376	2482	4102
377	2486	4091
378	2490	4081
379	2495	4070
380	2499	4060
381	2503	4050
382	2507	4039
383	2512	4030
384	2516	4020
385	2521	4010
386	2526	4001
387	2531	3992
388	2535	3982
389	2539	3972
390	2543	3962
391	2548	3953
392	2553	3943
393	2557	3933
394	2562	3924
395	2567	3915
396	2571	3906
397	2576	3897
398	2580	3887
399	2586	3879
400	2590	3869
401	2594	3859
402	2599	3850
403	2604	3841
404	2609	3833
405	2613	3824
406	2618	3815
407	2623	3806
408	2628	3797
409	2632	3788
410	2637	3779
411	2642	3771
412	2647	3762
413	2652	3754
414	2657	3745
415	2661	3736
416	2670	3733
417	2677	3727
418	2681	3718
419	2686	3709
420	2690	3700
421	2695	3691
422	2699	3682
423	2704	3673
424	2708	3664
425	2713	3655
426	2718	3647
427	2723	3639
428	2728	3631
429	2733	3622
430	2737	3614
431	2742	3605
432	2746	3596
433	2751	3588
434	2756	3579
435	2761	3571
436	2765	3562
437	2769	3554
438	2774	3545
439	2779	3537
440	2783	3528
441	2787	3519
442	2792	3511
443	2796	3502
444	2802	3494
445	2806	3485
446	2810	3477
447	2815	3469
448	2819	3460
449	2824	3451
450	2828	3443
451	2833	3434
452	2837	3426
453	2842	3418
454	2846	3410
455	2851	3401
456	2855	3393
457	2860	3385
458	2865	3377
459	2870	3369
460	2874	3361
461	2879	3352
462	2883	3344
463	2888	3336
464	2892	3328
465	2898	3321
466	2902	3313
467	2907	3305
468	2920	3306
469	2932	3306
470	2936	3298
471	2941	3290
472	2946	3282
473	2950	3274
474	2955	3266
475	2959	3258
476	2965	3251
477	2970	3244
478	2976	3237
479	2981	3229
480	2985	3221
481	2990	3213
482	2994	3205
483	2998	3197
484	3003	3189
485	3008	3181
486	3016	3177
487	3021	3170
488	3025	3162
489	3030	3154
490	3035	3147
491	3041	3139
492	3045	3132
493	3050	3124
494	3056	3118
495	3061	3110
496	3065	3102
497	3071	3096
498	3075	3088
499	3080	3080
500	3086	3074
501	3091	3066
502	3095	3058
503	3102	3053
504	3107	3045
505	3111	3037
506	3118	3032
507	3123	3024
508	3127	3017
509	3133	3010
510	3138	3003
511	3142	2995
512	3147	2988
513	3152	2980
514	3157	2973
515	3161	2965
516	3177	2968
517	3186	2964
518	3190	2956
519	3195	2949
520	3201	2943
521	3206	2936
522	3213	2930
523	3218	2923
524	3223	2916
525	3228	2908
526	3232	2901
527	3236	2893
528	3241	2885
529	3245	2878
530	3250	2870
531	3254	2863
532	3259	2855
533	3264	2848
534	3268	2841
535	3273	2833
536	3277	2826
537	3282	2818
538	3286	2811
539	3291	2803
540	3295	2796
541	3300	2788
542	3304	2781
543	3309	2773
544	3313	2766
545	3318	2758
546	3322	2751
547	3326	2744
548	3331	2737
549	3336	2729
550	3341	2722
551	3346	2716
552	3351	2709
553	3356	2702
554	3360	2694
555	3367	2689
556	3372	2681
557	3377	2675
558	3382	2668
559	3386	2661
560	3393	2655
561	3397	2648
562	3402	2640
563	3409	2635
564	3440	2649
565	3449	2645
566	3460	2642
567	3467	2637
568	3476	2633
569	3481	2626
570	3489	2621
571	3495	2615
572	3500	2608
573	3508	2603
574	3513	2596
575	3518	2590
576	3525	2584
577	3530	2577
578	3537	2572
579	3543	2566
580	3547	2558
581	3552	2551
582	3557	2544
583	3561	2537
584	3565	2529
585	3570	2522
586	3574	2515
587	3578	2507
588	3583	2500
589	3588	2493
590	3592	2486
591	3596	2478
592	3601	2472
593	3605	2464
594	3610	2457
595	3614	2450
596	3618	2442
597	3623	2435
598	3633	2432
599	3687	2458
600	3698	2455
601	3708	2451
602	3719	2448
603	3725	2442
604	3732	2437
605	3739	2431
606	3745	2424
607	3751	2418
608	3757	2412
609	3764	2406
610	3769	2399
611	3775	2393
612	3782	2387
613	3787	2380
614	3792	2373
615	3799	2368
616	3805	2362
617	3810	2355
618	3816	2349
619	3821	2342
620	3825	2334
621	3834	2330
622	3840	2324
623	3848	2318
624	3853	2312
625	3859	2305
626	3865	2299
627	3869	2292
628	3874	2285
629	3881	2279
630	3887	2273
631	3891	2265
632	3897	2259
633	3901	2252
634	3906	2245
635	3911	2238
636	3916	2231
637	3920	2224
638	3925	2217
639	3931	2211
640	3935	2204
641	3941	2197
642	3946	2191
643	3951	2184
644	3955	2177
645	3962	2171
646	3966	2163
647	3970	2156
648	3976	2150
649	3981	2144
650	3986	2137
651	3994	2132
652	4000	2125
653	4005	2118
654	4012	2113
655	4019	2107
656	4027	2102
657	4032	2096
658	4037	2089
659	4045	2083
660	4051	2077
661	4064	2075
662	4069	2068
663	4078	2064
664	4086	2058
665	4097	2054
666	4101	2047
667	4110	2042
668	4114	2035
669	4121	2030
670	4127	2023
671	4132	2016
672	4140	2011
673	4147	2006
674	4154	2000
675	4159	1993
676	4164	1986
677	4172	1981
678	4179	1975
679	4188	1971
680	4194	1964
681	4204	1960
682	4208	1953
683	4212	1946
684	4219	1940
685	4224	1933
686	4229	1926
687	4235	1920
688	4240	1913
689	4244	1906
690	4249	1900
691	4254	1893
692	4258	1886
693	4262	1879
694	4268	1873
695	4272	1866
696	4276	1859
697	4282	1852
698	4286	1845
699	4291	1839
700	4295	1832
701	4301	1825
702	4305	1818
703	4309	1812
704	4315	1805
705	4322	1799
706	4326	1793
707	4333	1787
708	4338	1780
709	4342	1773
710	4353	1769
711	4358	1762
712	4363	1756
713	4367	1749
714	4372	1742
715	4376	1735
716	4382	1729
717	4387	1723
718	4391	1716
719	4399	1710
720	4404	1704
721	4409	1697
722	4416	1692
723	4420	1685
724	4425	1678
725	4431	1672
726	4435	1665
727	4439	1658
728	4446	1652
729	4450	1645
730	4454	1639
731	4461	1633
732	4466	1626
733	4470	1620
734	4476	1613
735	4480	1607
736	4484	1600
737	4488	1593
738	4495	1587
739	4499	1580
740	4503	1574
741	4510	1568
742	4516	1562
743	4521	1555
744	4528	1550
745	4533	1543
746	4537	1536
747	4543	1530
748	4547	1523
749	4552	1517
750	4557	1511
751	4562	1504
752	4567	1498
753	4572	1491
754	4577	1485
755	4582	1479
756	4586	1472
757	4592	1466
758	4597	1459
759	4601	1453
760	4609	1447
761	4613	1440
762	4617	1434
763	4623	1428
764	4628	1421
765	4632	1415
766	4638	1409
767	4642	1402
768	4647	1396
769	4652	1389
770	4658	1383
771	4663	1377
772	4669	1371
773	4673	1364
774	4678	1358
775	4682	1351
776	4688	1345
777	4692	1339
778	4697	1332
779	4703	1326
780	4707	1320
781	4711	1313
782	4718	1307
783	4723	1301
784	4727	1294
785	4731	1288
786	4737	1282
787	4742	1275
788	4748	1269
789	4753	1263
790	4758	1257
791	4762	1250
792	4769	1244
793	4774	1238
794	4779	1232
795	4785	1226
796	4789	1220
797	4794	1213
798	4798	1207
799	4803	1200
800	4807	1194
801	4812	1188
802	4817	1181
803	4821	1175
804	4825	1169
805	4833	1163
806	4838	1157
807	4843	1150
808	4848	1144
809	4852	1138
810	4857	1131
811	4864	1126
812	4869	1119
813	4873	1113
814	4878	1107
815	4882	1101
816	4887	1094
817	4891	1088
818	4898	1082
819	4902	1076
820	4907	1069
821	4913	1064
822	4919	1058
823	4923	1051
824	4931	1046
825	4935	1039
826	4940	1033
827	4945	1027
828	4949	1020
829	4953	1014
830	4960	1008
831	4965	1002
832	4970	996
833	4975	990
834	4979	984
835	4984	977
836	4988	971
837	4998	966
838	5002	960
839	5007	953
840	5011	947
841	5016	941
842	5020	935
843	5030	929
844	5035	923
845	5040	917
846	5045	911
847	5049	905
848	5056	899
849	5066	894
850	5074	888
851	5079	882
852	5084	876
853	5091	870
854	5096	864
855	5100	858
856	5105	851
857	5109	845
858	5114	839
859	5118	833
860	5123	827
861	5128	821
862	5132	814
863	5137	808
864	5142	802
865	5146	796
866	5152	790
867	5157	784
868	5161	778
869	5167	772
870	5173	766
871	5178	760
872	5182	753
873	5189	748
874	5193	741
875	5198	735
876	5202	729
877	5207	723
878	5211	717
879	5219	711
880	5223	705
881	5228	699
882	5233	693
883	5237	687
884	5242	681
885	5247	675
886	5252	669
887	5256	663
888	5261	656
889	5266	650
890	5270	644
891	5274	638
892	5279	632
893	5286	626
894	5293	621
895	5298	614
896	5302	608
897	5307	602
898	5315	597
899	5319	591
900	5324	585
901	5329	578
902	5333	572
903	5337	566
904	5342	560
905	5347	554
906	5352	548
907	5356	542
908	5361	536
909	5365	530
910	5369	524
911	5375	518
912	5380	512
913	5384	506
914	5388	500
915	5393	494
916	5397	488
917	5402	482
918	5408	476
919	5413	470
920	5417	464
921	5421	458
922	5428	452
923	5432	446
924	5437	440
925	5443	435
926	5448	429
927	5452	423
928	5457	417
929	5461	411
930	5466	405
931	5476	399
932	5481	393
933	5486	387
934	5491	381
935	5495	375
936	5499	369
937	5505	363
938	5509	357
939	5513	351
940	5518	346
941	5524	340
942	5529	334
943	5533	328
944	5544	322
945	5549	316
946	5554	310
947	5559	304
948	5564	299
949	5575	293
950	5579	287
951	5584	281
952	5589	275
953	5593	269
954	5598	263
955	5604	257
956	5609	252
957	5613	246
958	5618	240
959	5622	234
960	5626	228
961	5631	222
962	5636	216
963	5640	210
964	5645	204
965	5650	198
966	5655	192
967	5659	187
968	5667	181
969	5673	175
970	5677	169
971	5682	163
972	5687	157
973	5692	151
974	5698	146
975	5703	140
976	5707	134
977	5712	128
978	5716	122
979	5720	116
980	5725	110
981	5732	105
982	5737	99
983	5741	93
984	5746	87
985	5751	81
986	5756	75
987	5761	69
988	5766	64
989	5771	58
990	5777	52
991	5783	46
992	5790	40
993	5798	34
994	5803	29
995	5808	23
996	5813	17
997	5818	11
998	5823	5
999	5832	0
