iter	RMSE
366	12331.17119
367	12307.32484
368	12298.08918
369	12290.50778
370	12277.67124
371	12258.97175
372	12225.90196
373	12205.29655
374	12183.87542
375	12167.18493
376	12146.75396
377	12136.87778
378	12104.7548
379	12080.76597
380	12051.09223
381	12035.51698
382	12009.39644
383	11986.12462
384	11964.07627
385	11945.31922
386	11929.74418
387	11920.91549
388	11898.27951
389	11881.6306
390	11852.12102
391	11826.84339
392	11806.54552
393	11804.73575
394	11795.35878
395	11778.82145
396	11760.4605
397	11745.83835
398	11721.58199
399	11686.78618
400	11667.44566
401	11649.20912
402	11635.90808
403	11615.33808
404	11608.71596
405	11596.85498
406	11575.86757
407	11561.7204
408	11545.99546
409	11525.56957
410	11517.93276
411	11500.73516
412	11485.09997
413	11474.07376
414	11460.27196
415	11443.9648
416	11430.96919
417	11415.99416
418	11397.28591
419	11380.55037
420	11366.00056
421	11352.69882
422	11351.00997
423	11329.18818
424	11316.2295
425	11287.98406
426	11259.38957
427	11252.63855
428	11251.25716
429	11230.26499
430	11208.32814
431	11196.33888
432	11179.3878
433	11155.36092
434	11140.89771
435	11119.02919
436	11097.30233
437	11095.66292
438	11073.18104
439	11071.69049
440	11037.39864
441	11035.93447
442	11023.46615
443	11013.24198
444	10981.7675
445	10976.35804
446	10960.04336
447	10935.98998
448	10907.79859
449	10906.40875
450	10900.48796
451	10882.6129
452	10867.06509
453	10849.86304
454	10841.54345
455	10840.19161
456	10814.2355
457	10791.70768
458	10779.66655
459	10756.2864
460	10731.4913
461	10716.45101
462	10715.53493
463	10704.35453
464	10703.05628
465	10692.90068
466	10682.63201
467	10675.9805
468	10661.58339
469	10646.95763
470	10643.08795
471	10631.87678
472	10630.58142
473	10608.25269
474	10582.73693
475	10581.35689
476	10553.95951
477	10539.89337
478	10522.78262
479	10495.48362
480	10477.89942
481	10451.68254
482	10450.52127
483	10435.75096
484	10417.35842
485	10403.49476
486	10378.92728
487	10362.50337
488	10361.023
489	10348.15067
490	10325.74446
491	10315.76481
492	10303.02711
493	10282.36853
494	10275.75039
495	10251.02041
496	10249.88062
497	10243.99503
498	10242.90178
499	10236.76268
500	10218.75022
501	10202.59267
502	10181.03694
503	10176.7461
504	10175.96019
505	10173.59417
506	10153.98338
507	10132.55156
508	10105.82879
509	10087.78089
510	10067.98305
511	10055.55989
512	10054.54315
513	10050.20668
514	10048.84669
515	10032.34482
516	10014.09834
517	9997.154894
518	9984.796509
519	9963.865879
520	9947.8305
521	9938.152127
522	9924.138409
523	9906.262051
524	9880.263393
525	9875.871884
526	9859.159949
527	9833.287959
528	9816.823995
529	9803.515429
530	9788.615779
531	9774.791952
532	9757.784593
533	9740.873043
534	9728.704579
535	9722.403076
536	9712.612987
537	9705.690412
538	9697.387604
539	9692.980261
540	9673.585396
541	9672.402411
542	9659.159674
543	9655.64455
544	9643.873811
545	9628.508758
546	9627.360113
547	9626.564146
548	9608.158521
549	9581.883644
550	9570.449106
551	9552.618412
552	9540.99902
553	9518.588711
554	9512.463467
555	9481.623181
556	9480.977363
557	9474.982995
558	9460.218617
559	9453.052496
560	9438.880762
561	9430.52052
562	9415.76429
563	9405.538619
564	9387.436562
565	9370.444491
566	9350.570537
567	9328.338357
568	9304.446098
569	9276.06948
570	9263.011399
571	9252.679202
572	9251.694714
573	9235.175795
574	9234.4568
575	9227.179439
576	9213.77427
577	9212.867097
578	9194.113189
579	9190.991314
580	9190.422373
581	9179.297713
582	9159.102015
583	9148.053843
584	9133.421798
585	9120.216792
586	9102.114762
587	9101.467761
588	9089.113664
589	9078.988691
590	9065.298341
591	9064.49439
592	9051.967305
593	9051.245467
594	9032.232561
595	9031.512541
596	9012.187224
597	8997.612099
598	8989.370044
599	8979.182598
600	8962.816077
601	8959.766618
602	8946.51235
603	8932.403845
604	8920.36329
605	8899.021835
606	8881.560909
607	8880.719189
608	8880.025632
609	8877.209655
610	8855.538562
611	8841.13938
612	8831.077042
613	8823.017442
614	8817.132568
615	8814.137022
616	8798.548996
617	8787.554703
618	8779.46835
619	8764.862849
620	8758.674827
621	8745.340344
622	8730.096607
623	8711.416251
624	8695.594597
625	8676.586248
626	8664.820578
627	8664.153916
628	8653.376222
629	8644.622942
630	8630.863273
631	8616.381118
632	8598.494981
633	8580.783078
634	8572.184254
635	8564.804759
636	8556.636941
637	8546.043931
638	8536.272868
639	8529.004896
640	8510.684259
641	8497.891003
642	8490.728114
643	8472.989177
644	8463.172729
645	8461.608869
646	8460.854662
647	8459.160961
648	8447.925945
649	8433.483339
650	8415.341458
651	8414.666986
652	8397.060959
653	8387.242783
654	8379.087556
655	8372.356506
656	8362.355461
657	8351.586386
658	8337.65777
659	8330.809788
660	8319.881224
661	8296.409223
662	8284.408873
663	8273.886982
664	8262.523953
665	8251.237689
666	8243.787263
667	8236.043194
668	8217.384593
669	8207.293167
670	8194.427212
671	8193.876487
672	8190.670608
673	8179.763127
674	8170.55082
675	8157.993149
676	8148.732095
677	8137.973226
678	8130.960695
679	8111.904743
680	8099.211367
681	8090.939862
682	8089.30975
683	8077.200591
684	8064.134313
685	8049.238737
686	8036.766229
687	8026.664225
688	8015.376097
689	8005.470251
690	7992.389562
691	7988.760964
692	7988.137522
693	7979.358676
694	7978.765484
695	7969.985908
696	7961.235621
697	7946.185674
698	7930.852054
699	7930.244285
700	7916.306605
701	7905.096809
702	7904.307681
703	7899.775482
704	7881.971846
705	7871.358499
706	7853.140072
707	7842.379229
708	7827.442011
709	7812.484009
710	7800.573246
711	7800.072431
712	7794.930351
713	7788.518119
714	7786.241916
715	7774.857705
716	7763.212946
717	7743.802735
718	7733.608842
719	7726.484958
720	7716.405573
721	7703.264606
722	7694.208837
723	7686.069359
724	7675.448101
725	7673.006266
726	7660.079314
727	7659.501529
728	7650.591112
729	7643.303997
730	7637.318304
731	7626.635428
732	7618.464617
733	7615.114016
734	7602.12394
735	7596.257338
736	7586.383043
737	7585.75965
738	7573.59209
739	7567.000677
740	7562.445813
741	7548.831462
742	7535.50023
743	7525.750399
744	7525.27994
745	7512.813365
746	7500.737965
747	7483.118773
748	7466.985358
749	7456.615563
750	7449.107158
751	7444.748318
752	7434.810158
753	7434.290717
754	7423.425071
755	7419.353337
756	7416.549187
757	7411.597099
758	7406.521675
759	7389.371516
760	7380.200633
761	7370.417158
762	7363.030217
763	7351.079742
764	7347.512268
765	7341.804868
766	7335.546902
767	7325.833772
768	7315.993985
769	7312.555882
770	7304.734262
771	7297.732016
772	7288.9691
773	7281.453768
774	7270.988413
775	7261.961137
776	7245.3633
777	7239.708623
778	7227.949136
779	7222.967867
780	7216.401017
781	7216.029958
782	7205.823561
783	7198.988433
784	7191.527113
785	7180.964088
786	7169.3716
787	7169.006581
788	7163.623299
789	7150.422036
790	7140.702949
791	7137.314277
792	7126.229346
793	7121.299176
794	7113.355745
795	7109.90199
796	7100.958237
797	7089.511935
798	7081.578495
799	7076.447828
800	7061.681873
801	7053.219333
802	7047.763191
803	7040.529072
804	7032.629886
805	7026.024134
806	7017.464767
807	7001.595143
808	6991.581439
809	6990.252628
810	6978.401104
811	6967.467038
812	6955.790287
813	6950.429071
814	6943.470288
815	6943.007574
816	6934.742307
817	6923.797587
818	6912.069359
819	6898.94119
820	6887.985501
821	6881.986547
822	6871.208274
823	6870.750261
824	6864.715578
825	6859.882391
826	6854.891522
827	6843.029991
828	6837.502593
829	6829.814472
830	6822.87791
831	6809.288489
832	6802.49247
833	6802.10842
834	6794.76621
835	6786.029853
836	6774.775048
837	6768.677128
838	6764.152902
839	6756.484813
840	6747.821729
841	6738.559277
842	6733.550563
843	6724.675247
844	6721.793861
845	6703.943233
846	6690.328866
847	6683.111147
848	6669.566197
849	6667.079697
850	6655.9043
851	6652.871835
852	6647.456069
853	6637.942374
854	6631.344869
855	6622.224866
856	6614.670786
857	6608.291885
858	6598.813036
859	6598.494397
860	6593.338711
861	6589.737968
862	6580.706098
863	6575.437635
864	6567.002375
865	6556.519422
866	6552.626879
867	6546.41039
868	6539.191921
869	6534.913497
870	6526.641883
871	6518.752351
872	6507.93603
873	6502.721462
874	6495.793451
875	6492.080253
876	6491.499004
877	6478.815296
878	6469.611933
879	6462.058348
880	6457.713122
881	6450.140583
882	6443.216796
883	6439.664981
884	6426.992896
885	6418.884284
886	6418.468045
887	6408.789595
888	6402.173784
889	6395.943392
890	6393.15671
891	6389.915004
892	6379.268623
893	6374.357223
894	6373.891837
895	6366.054703
896	6352.221413
897	6343.902271
898	6333.576616
899	6323.155726
900	6314.594789
901	6308.40508
902	6301.882173
903	6295.369272
904	6293.505685
905	6290.340626
906	6283.564349
907	6275.024745
908	6267.076123
909	6259.824467
910	6251.066826
911	6243.856986
912	6240.89258
913	6236.706266
914	6231.140252
915	6221.304143
916	6218.614623
917	6216.514809
918	6216.205837
919	6203.796509
920	6191.129251
921	6182.256056
922	6179.049262
923	6170.219952
924	6163.629762
925	6153.687985
926	6139.943347
927	6129.768134
928	6124.170878
929	6115.875912
930	6106.380071
931	6100.991429
932	6099.631117
933	6096.024829
934	6092.76768
935	6084.880073
936	6070.710801
937	6065.01067
938	6059.776655
939	6050.25093
940	6042.502666
941	6034.470174
942	6034.013937
943	6032.122746
944	6026.552804
945	6021.742714
946	6019.971227
947	6014.891952
948	6009.521802
949	5998.313754
950	5990.467967
951	5984.913355
952	5983.024251
953	5978.750024
954	5970.18725
955	5965.818507
956	5956.284408
957	5949.917402
958	5944.614135
959	5942.165894
960	5935.427122
961	5926.991731
962	5917.286637
963	5909.041857
964	5900.765727
965	5890.624811
966	5883.623235
967	5872.841069
968	5867.317341
969	5866.895674
970	5858.175325
971	5846.806843
972	5838.137466
973	5837.760662
974	5830.862265
975	5822.145695
976	5815.431247
977	5808.844296
978	5806.639541
979	5800.000292
980	5799.664085
981	5796.569061
982	5790.054946
983	5788.811867
984	5785.219556
985	5778.907989
986	5771.382564
987	5769.821556
988	5763.357408
989	5755.585259
990	5751.322886
991	5746.080966
992	5741.860467
993	5739.061974
994	5734.54931
995	5730.801428
996	5730.400473
997	5721.533757
998	5714.374601
999	5708.656513
